time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.087769,-0.0163,-0.0133,-0.0022,0.021
3.088876,-0.0138,-0.0294,0.0120,0.035
3.103575,-0.0113,-0.0078,-0.0094,0.017
3.118949,0.0030,-0.0099,-0.0139,0.017
3.120036,-0.0137,-0.0027,-0.0066,0.015
3.137876,0.0007,-0.0097,0.0099,0.014
3.138872,-0.0111,0.0140,0.0051,0.019
3.153430,-0.0065,0.0020,-0.0068,0.010
3.168291,0.0007,0.0041,-0.0043,0.006
3.169350,-0.0066,0.0017,-0.0066,0.010
3.185896,-0.0019,-0.0054,0.0053,0.008
3.189797,0.0074,0.0040,-0.0019,0.009
3.203634,0.0047,0.0039,0.0005,0.006
3.222355,-0.0026,-0.0151,-0.0042,0.016
3.223496,0.0068,0.0112,0.0147,0.020
3.238301,-0.0123,0.0110,0.0027,0.017
3.239388,-0.0027,0.0108,0.0050,0.012
3.253047,-0.0099,-0.0107,-0.0069,0.016
3.270760,0.0091,-0.0176,0.0050,0.020
3.271854,-0.0125,-0.0033,0.0049,0.014
3.286509,0.0016,-0.0008,0.0096,0.010
3.289666,-0.0127,0.0059,-0.0071,0.016
3.303682,-0.0148,0.0035,-0.0093,0.018
3.318731,0.0018,0.0010,-0.0021,0.003
3.319721,-0.0054,0.0032,0.0003,0.006
3.339473,-0.0149,0.0175,-0.0091,0.025
3.340618,0.0112,0.0123,0.0028,0.017
3.353097,-0.0079,-0.0161,-0.0020,0.018
3.374430,0.0017,0.0078,-0.0043,0.009
3.375500,-0.0005,-0.0112,-0.0066,0.013
3.388986,-0.0147,0.0033,-0.0017,0.015
3.390133,-0.0122,-0.0134,-0.0088,0.020
3.403315,-0.0097,-0.0082,-0.0063,0.014
3.419186,-0.0027,-0.0058,-0.0109,0.013
3.420321,0.0022,0.0132,0.0034,0.014
3.438626,0.0115,-0.0034,0.0010,0.012
3.439703,-0.0146,-0.0057,0.0033,0.016
3.456210,-0.0073,-0.0058,-0.0014,0.009
3.467017,-0.0001,-0.0058,0.0080,0.010
3.469913,-0.0122,0.0108,-0.0062,0.017
3.486526,-0.0051,-0.0035,-0.0108,0.012
3.491136,-0.0004,-0.0033,-0.0107,0.011
3.503570,-0.0005,0.0016,-0.0058,0.006
3.522573,-0.0241,-0.0032,0.0249,0.035
3.523758,-0.0048,0.0134,0.0104,0.018
3.538083,-0.0071,-0.0104,0.0102,0.016
3.540768,0.0070,0.0132,0.0030,0.015
3.552854,-0.0094,-0.0128,-0.0041,0.016
3.572997,0.0004,-0.0008,-0.0111,0.011
3.574094,0.0072,-0.0032,-0.0062,0.010
3.588816,-0.0070,-0.0032,-0.0014,0.008
3.590949,-0.0048,0.0014,-0.0014,0.005
3.603743,-0.0022,-0.0081,0.0010,0.008
3.619721,-0.0092,0.0062,0.0010,0.011
3.620826,0.0004,-0.0079,-0.0155,0.017
3.637024,-0.0185,0.0016,-0.0035,0.019
3.641648,-0.0064,0.0040,-0.0058,0.009
3.653689,-0.0040,0.0039,-0.0033,0.007
3.666650,-0.0015,0.0086,-0.0056,0.010
3.673361,-0.0181,-0.0150,0.0086,0.025
3.685320,0.0056,0.0087,-0.0033,0.011
3.691302,-0.0112,-0.0010,0.0155,0.019
3.701162,0.0102,0.0037,-0.0059,0.012
3.717100,-0.0160,0.0014,0.0107,0.019
3.721793,-0.0016,0.0156,-0.0083,0.018
3.732566,-0.0136,0.0084,0.0059,0.017
3.741249,-0.0017,-0.0059,-0.0012,0.006
3.751086,-0.0255,0.0012,-0.0059,0.026
3.766635,-0.0179,0.0035,-0.0035,0.019
3.771493,-0.0201,-0.0060,-0.0058,0.022
3.783053,0.0036,0.0036,-0.0151,0.016
3.791189,-0.0033,-0.0060,0.0016,0.007
3.801221,-0.0152,0.0011,-0.0172,0.023
3.818810,-0.0105,-0.0107,0.0043,0.016
3.822040,-0.0103,0.0130,-0.0052,0.017
3.835947,0.0038,0.0011,-0.0004,0.004
3.842648,0.0107,-0.0035,-0.0075,0.014
3.854743,-0.0063,-0.0034,0.0021,0.007
3.869809,0.0056,-0.0080,-0.0050,0.011
3.872640,0.0030,0.0063,-0.0026,0.007
3.887532,-0.0064,-0.0008,0.0021,0.007
3.892007,0.0076,0.0016,-0.0120,0.014
3.903728,-0.0090,-0.0008,-0.0071,0.012
3.920865,-0.0135,-0.0128,-0.0023,0.019
3.922015,-0.0155,0.0015,-0.0022,0.016
3.938876,-0.0129,0.0108,0.0096,0.019
3.942293,0.0015,0.0200,-0.0071,0.021
3.953228,-0.0033,0.0149,0.0072,0.017
3.972028,-0.0011,0.0051,-0.0000,0.005
3.973313,0.0036,0.0050,-0.0188,0.020
3.987604,-0.0035,-0.0046,-0.0068,0.009
3.993164,-0.0223,0.0071,-0.0019,0.023
4.004498,0.0039,0.0141,0.0075,0.016
4.029551,-0.0200,-0.0076,-0.0091,0.023
4.030677,-0.0080,0.0019,0.0122,0.015
4.041804,0.0061,0.0136,-0.0068,0.016
4.042588,0.0131,-0.0196,-0.0020,0.024
4.053322,-0.0084,-0.0003,0.0122,0.015
4.071138,-0.0084,-0.0002,-0.0139,0.016
4.072383,-0.0035,-0.0071,-0.0160,0.018
4.086362,0.0057,-0.0020,0.0101,0.012
4.106586,-0.0084,-0.0043,-0.0018,0.010
4.107755,-0.0179,0.0194,0.0053,0.027
4.121339,-0.0222,-0.0162,-0.0019,0.028
4.122669,-0.0125,-0.0301,-0.0113,0.034
4.138341,-0.0100,0.0010,-0.0064,0.012
4.143346,-0.0006,-0.0107,-0.0086,0.014
4.153320,-0.0053,0.0037,-0.0061,0.009
4.172378,-0.0052,0.0179,-0.0013,0.019
4.173594,-0.0005,0.0058,-0.0083,0.010
4.186235,-0.0005,0.0081,-0.0082,0.012
4.193673,-0.0054,-0.0037,-0.0010,0.007
4.206614,-0.0123,-0.0085,-0.0128,0.020
4.222715,-0.0029,-0.0038,0.0016,0.005
4.223918,-0.0100,0.0174,-0.0032,0.020
4.239510,-0.0005,-0.0040,-0.0102,0.011
4.243314,-0.0050,-0.0038,0.0018,0.007
4.254096,-0.0073,-0.0038,-0.0077,0.011
4.270703,0.0092,0.0010,-0.0052,0.011
4.274083,-0.0029,-0.0109,-0.0169,0.020
4.286422,-0.0055,0.0080,-0.0048,0.011
4.294177,-0.0055,-0.0180,-0.0024,0.019
4.306268,-0.0125,-0.0059,-0.0047,0.015
4.322600,0.0135,0.0178,0.0095,0.024
4.323752,-0.0126,0.0011,-0.0001,0.013
4.338798,-0.0196,-0.0107,0.0023,0.022
4.355191,-0.0052,0.0083,-0.0048,0.011
4.356375,0.0113,-0.0084,-0.0024,0.014
4.369151,0.0016,0.0036,-0.0047,0.006
4.374579,-0.0032,0.0106,0.0072,0.013
4.387000,-0.0151,-0.0060,0.0023,0.016
4.394081,-0.0081,-0.0129,-0.0071,0.017
4.406866,-0.0101,0.0014,-0.0023,0.010
4.422895,0.0018,0.0110,-0.0070,0.013
4.423963,-0.0006,0.0013,-0.0092,0.009
4.436935,-0.0101,0.0224,-0.0161,0.029
4.443991,-0.0265,0.0126,-0.0041,0.030
4.455859,-0.0024,0.0078,-0.0017,0.008
4.471011,0.0043,0.0218,-0.0040,0.023
4.473902,0.0065,0.0074,0.0055,0.011
4.488058,-0.0055,0.0049,-0.0064,0.010
4.508727,-0.0127,-0.0162,-0.0015,0.021
4.509710,-0.0055,0.0098,-0.0015,0.011
4.523362,-0.0053,0.0094,-0.0039,0.012
4.524475,-0.0099,0.0070,-0.0061,0.014
4.537398,-0.0168,-0.0119,-0.0037,0.021
4.544282,0.0044,0.0118,-0.0060,0.014
4.556494,-0.0053,-0.0023,-0.0059,0.008
4.570519,-0.0028,0.0120,0.0013,0.012
4.575269,0.0161,-0.0022,-0.0058,0.017
4.589280,-0.0147,-0.0139,-0.0128,0.024
4.604682,0.0020,0.0028,0.0063,0.007
4.605762,-0.0053,-0.0254,-0.0103,0.028
4.623255,-0.0100,-0.0084,-0.0078,0.015
4.625467,-0.0101,0.0175,-0.0147,0.025
4.639335,0.0065,0.0008,0.0020,0.007
4.654811,0.0087,-0.0135,-0.0004,0.016
4.655916,0.0062,0.0032,-0.0098,0.012
4.676084,0.0060,0.0056,-0.0073,0.011
4.677143,-0.0106,0.0032,-0.0071,0.013
4.689146,-0.0082,-0.0086,-0.0023,0.012
4.702693,-0.0011,0.0033,0.0001,0.003
4.707884,-0.0011,0.0104,-0.0046,0.011
4.720860,-0.0033,-0.0015,-0.0140,0.014
4.725471,-0.0102,0.0127,0.0004,0.016
4.735957,0.0158,0.0030,-0.0043,0.017
4.752253,-0.0058,0.0123,0.0028,0.014
4.754962,-0.0174,-0.0138,0.0075,0.023
4.768056,-0.0006,0.0053,-0.0044,0.007
4.774995,0.0089,0.0123,0.0051,0.016
4.784858,0.0042,0.0004,-0.0115,0.012
4.813286,-0.0172,0.0053,-0.0160,0.024
4.813774,0.0068,0.0052,-0.0063,0.011
4.817876,-0.0168,0.0050,-0.0015,0.018
4.825273,-0.0024,-0.0045,-0.0015,0.005
4.835154,0.0164,-0.0091,0.0056,0.020
4.853408,-0.0003,0.0053,-0.0016,0.006
4.855657,-0.0145,0.0007,0.0102,0.018
4.868588,0.0021,0.0124,-0.0064,0.014
4.876071,0.0020,0.0122,-0.0134,0.018
4.890730,-0.0026,0.0262,0.0127,0.029
4.905087,0.0069,0.0069,-0.0016,0.010
4.906053,-0.0168,0.0113,0.0031,0.020
4.924332,-0.0000,0.0064,-0.0181,0.019
4.925619,-0.0141,0.0039,0.0057,0.016
4.939878,-0.0068,-0.0008,-0.0061,0.009
4.957231,-0.0021,0.0112,-0.0131,0.017
4.958463,-0.0019,-0.0077,-0.0058,0.010
4.971692,-0.0065,-0.0026,-0.0033,0.008
4.976840,-0.0044,-0.0003,-0.0033,0.005
4.989971,-0.0065,0.0162,-0.0056,0.018
5.006042,0.0238,0.0112,0.0016,0.026
5.007168,-0.0142,0.0039,-0.0102,0.018
5.021062,-0.0165,-0.0149,-0.0101,0.024
5.027082,0.0002,-0.0147,-0.0028,0.015
5.039735,-0.0069,-0.0192,-0.0028,0.021
5.055745,0.0001,-0.0142,-0.0074,0.016
5.056872,0.0048,0.0001,-0.0026,0.005
5.070524,0.0139,-0.0071,-0.0049,0.016
5.077392,-0.0028,0.0095,0.0093,0.014
5.089369,-0.0051,0.0047,0.0115,0.013
5.103511,-0.0051,0.0072,0.0042,0.010
5.107568,0.0044,-0.0141,-0.0100,0.018
5.122657,-0.0076,0.0071,0.0043,0.011
5.127516,-0.0005,-0.0069,-0.0005,0.007
5.140515,-0.0028,0.0049,-0.0099,0.011
5.158341,0.0090,-0.0138,0.0115,0.020
5.159553,-0.0194,-0.0087,-0.0099,0.023
5.172176,-0.0025,-0.0062,-0.0003,0.007
5.177669,-0.0167,0.0080,-0.0191,0.027
5.189554,-0.0001,0.0078,-0.0071,0.011
5.206310,0.0139,0.0076,0.0001,0.016
5.207447,-0.0053,0.0146,-0.0046,0.016
5.223541,-0.0124,-0.0021,0.0049,0.014
5.227936,-0.0168,0.0028,0.0119,0.021
5.240002,-0.0025,-0.0044,-0.0142,0.015
