time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.110384,-0.0258,-0.0086,0.0115,0.030
2.120373,-0.0157,-0.0182,0.0311,0.039
2.130425,-0.0156,-0.0179,0.0507,0.056
2.140843,-0.0253,-0.0274,0.0507,0.063
2.153428,0.0039,-0.0466,0.0409,0.062
2.160360,-0.0057,-0.0362,-0.0081,0.038
2.170449,0.0038,0.0029,0.0016,0.005
2.180301,-0.0251,0.0221,0.0114,0.035
2.190520,0.0234,0.0218,0.0114,0.034
2.200318,-0.0250,-0.0074,0.0114,0.028
2.210385,0.0428,-0.0265,0.0114,0.052
2.220288,0.0036,-0.0260,0.0114,0.029
2.230472,-0.0351,0.0034,0.0310,0.047
2.240782,0.0232,-0.0158,0.0114,0.030
2.253571,0.0131,-0.0058,-0.0081,0.016
2.260431,0.0034,0.0039,-0.0277,0.028
2.270485,0.0130,0.0038,0.0114,0.018
2.280265,-0.0159,0.0131,0.0016,0.021
2.290533,-0.0155,0.0318,0.0016,0.035
2.300320,0.0041,0.0119,0.0114,0.017
2.310415,-0.0436,0.0306,0.0016,0.053
2.320287,-0.0334,0.0010,-0.0375,0.050
2.330510,-0.0040,0.0009,0.0114,0.012
2.340269,-0.0333,-0.0088,-0.0375,0.051
2.350710,-0.0038,-0.0088,0.0114,0.015
2.361310,0.0154,0.0105,0.0114,0.022
2.370449,0.0149,0.0103,0.0016,0.018
2.380223,-0.0046,-0.0189,-0.0179,0.026
2.390710,-0.0045,0.0101,-0.0081,0.014
2.400482,-0.0235,0.0003,0.0016,0.024
2.410441,-0.0038,-0.0188,0.0114,0.022
2.420358,0.0156,0.0105,0.0506,0.054
2.430389,-0.0038,0.0103,0.0016,0.011
2.440822,-0.0134,-0.0186,0.0114,0.026
2.450926,0.0059,-0.0181,0.0016,0.019
2.465015,0.0250,0.0110,0.0016,0.027
2.470848,0.0344,0.0398,0.0115,0.054
2.481705,0.0049,0.0100,0.0017,0.011
2.491439,0.0048,0.0002,0.0213,0.022
2.501349,-0.0048,0.0001,0.0115,0.012
2.510494,0.0048,0.0098,-0.0178,0.021
2.520383,-0.0144,-0.0094,-0.0081,0.019
2.530724,-0.0045,0.0100,-0.0179,0.021
2.540405,-0.0234,0.0099,0.0016,0.025
2.550578,-0.0231,0.0292,0.0310,0.048
2.560566,0.0159,0.0094,0.0114,0.022
2.570304,-0.0034,0.0479,0.0115,0.049
2.580146,0.0256,0.0182,0.0115,0.033
2.590216,0.0252,0.0084,0.0115,0.029
2.600247,0.0055,0.0084,0.0311,0.033
2.610248,-0.0138,0.0083,0.0409,0.044
2.620112,0.0251,0.0179,0.0409,0.051
2.630206,0.0245,-0.0397,0.0017,0.047
2.640183,-0.0145,-0.0294,0.0213,0.039
2.650220,0.0050,0.0096,0.0115,0.016
2.660151,0.0050,-0.0193,0.0115,0.023
2.670197,0.0244,-0.0384,0.0311,0.055
2.680101,-0.0144,0.0006,0.0114,0.018
2.690259,-0.0045,-0.0089,0.0114,0.015
2.700109,0.0340,0.0297,0.0115,0.047
2.710194,0.0142,0.0099,-0.0080,0.019
2.720109,-0.0052,-0.0191,-0.0178,0.027
2.730251,0.0044,0.0101,0.0213,0.024
2.740240,-0.0050,0.0100,0.0115,0.016
2.750601,-0.0048,0.0001,0.0115,0.012
2.760113,0.0049,0.0483,0.0115,0.050
2.770168,0.0242,-0.0102,0.0115,0.029
2.780057,-0.0148,0.0189,-0.0472,0.053
2.790202,0.0048,0.0186,-0.0178,0.026
2.800049,0.0049,0.0087,0.0311,0.033
2.810150,-0.0240,0.0084,0.0115,0.028
2.820124,0.0052,0.0177,0.0017,0.019
2.830395,-0.0140,-0.0019,0.0115,0.018
2.840766,-0.0136,-0.0114,0.0017,0.018
2.851281,-0.0036,-0.0111,0.0017,0.012
2.860132,-0.0131,0.0177,-0.0178,0.028
2.870212,-0.0033,-0.0018,0.0311,0.031
2.880140,0.0064,0.0271,0.0507,0.058
2.890151,-0.0033,-0.0215,0.0115,0.025
2.900190,0.0063,-0.0116,0.0115,0.018
2.910220,0.0062,0.0077,0.0311,0.033
2.920162,-0.0034,-0.0308,0.0115,0.033
2.930329,0.0062,-0.0109,0.0115,0.017
2.940399,0.0255,0.0087,0.0311,0.041
2.950590,-0.0039,-0.0107,-0.0277,0.030
2.960158,0.0250,0.0182,0.0115,0.033
2.970343,0.0053,0.0082,0.0115,0.015
2.980229,0.0246,-0.0016,-0.0276,0.037
2.990383,0.0049,0.0079,0.0017,0.009
3.000202,0.0050,0.0078,0.0410,0.042
3.010285,0.0050,0.0461,-0.0079,0.047
3.020201,0.0243,-0.0221,-0.0178,0.037
3.030609,-0.0146,-0.0121,-0.0276,0.033
3.040521,-0.0047,-0.0118,-0.0276,0.030
3.050559,0.0050,-0.0019,-0.0374,0.038
3.060376,-0.0048,0.0078,-0.0276,0.029
3.074566,-0.0047,0.0173,0.0115,0.021
3.080182,0.0242,-0.0023,0.0312,0.040
3.090189,-0.0051,0.0552,0.0018,0.055
3.100083,-0.0049,0.0157,0.0116,0.020
3.110209,-0.0143,-0.0519,0.0116,0.055
3.120142,0.0051,-0.0125,0.0116,0.018
3.130303,-0.0045,-0.0123,0.0312,0.034
3.140294,-0.0045,-0.0216,0.0115,0.025
3.150396,0.0147,0.0076,0.0115,0.020
3.160142,-0.0241,-0.0117,0.0115,0.029
3.170246,0.0049,-0.0020,0.0017,0.006
3.180147,-0.0048,-0.0312,0.0311,0.044
3.190289,-0.0047,-0.0210,0.0115,0.024
3.200422,-0.0236,-0.0206,0.0017,0.031
3.210219,0.0058,0.0181,0.0115,0.022
3.220265,0.0252,-0.0016,0.0213,0.033
3.230311,0.0055,-0.0114,-0.0080,0.015
3.241964,-0.0042,0.0079,-0.0276,0.029
3.250480,-0.0137,0.0077,-0.0080,0.018
3.260267,0.0056,-0.0212,0.0115,0.025
3.270323,-0.0135,-0.0208,0.0115,0.027
3.280197,0.0060,0.0084,-0.0080,0.013
3.294520,0.0059,0.0178,0.0017,0.019
3.300635,-0.0134,-0.0210,-0.0276,0.037
3.310231,0.0061,0.0279,0.0311,0.042
3.320395,-0.0035,0.0083,0.0311,0.032
3.330409,-0.0036,-0.0013,0.0115,0.012
3.340141,-0.0134,0.0374,0.0213,0.045
3.350424,-0.0133,0.0078,0.0213,0.026
3.360168,-0.0226,-0.0308,-0.0081,0.039
3.370287,-0.0030,-0.0111,-0.0179,0.021
3.380164,0.0359,-0.0207,0.0507,0.065
3.390242,-0.0030,-0.0204,0.0212,0.030
3.400618,0.0066,-0.0299,0.0212,0.037
3.410274,0.0261,0.0187,0.0409,0.052
3.420183,0.0160,0.0086,-0.0080,0.020
3.430319,0.0350,-0.0108,-0.0080,0.037
3.440269,-0.0041,0.0085,0.0115,0.015
3.453232,0.0149,0.0178,0.0017,0.023
3.460266,0.0146,0.0079,0.0115,0.020
3.473716,-0.0049,-0.0017,0.0213,0.022
3.480230,0.0047,0.0369,-0.0178,0.041
3.490265,0.0140,-0.0022,0.0018,0.014
3.503424,0.0137,-0.0118,0.0116,0.021
3.510557,0.0037,-0.0115,0.0018,0.012
3.520400,0.0326,-0.0017,0.0116,0.035
3.530321,0.0127,-0.0017,0.0116,0.017
3.540344,0.0125,0.0080,0.0116,0.019
3.554998,0.0028,-0.0016,0.0116,0.012
3.560289,0.0028,-0.0210,-0.0570,0.061
3.577864,0.0125,0.0179,0.0116,0.025
3.580380,-0.0260,-0.0015,0.0214,0.034
3.590417,0.0129,-0.0015,0.0116,0.017
3.602990,-0.0354,0.0080,0.0116,0.038
3.610531,-0.0251,0.0079,0.0116,0.029
3.626234,-0.0247,-0.0114,0.0115,0.030
3.630255,0.0237,-0.0015,0.0116,0.026
3.640192,0.0135,0.0080,0.0116,0.020
3.650847,0.0036,-0.0114,0.0116,0.017
3.660182,-0.0351,-0.0115,0.0508,0.063
3.674093,-0.0150,-0.0207,0.0017,0.026
3.680202,0.0140,-0.0107,0.0213,0.028
3.690192,0.0331,0.0087,-0.0178,0.039
